p_name,category_id,brand_id,stock,p_desc,p_price,discount
Yellow Chimes Moxie,bracelet,Brand object (1),30,Swan Love Designer ? Blue Crystal Kadaa Bracelet for Girls…,1746.00,20
SHAZE,bracelet,Brand object (1),30,Illusion Bracelet|Bracelet for Girls Bracelets for Women Bangles for Women,3999.00,20
Yellow Chimes ctystals,bracelet,Brand object (1),30,Crystals from Swarovski Platinum Plated Designer Crystal Bracelet,4951.00,20
jewels,bracelet,Brand object (1),30,Sterling Silver Double Heart Swarovski Elements Adjustable Bracelet for Women,1000.00,10
Yellow Chimes Hanging,bracelet,Brand object (1),30,Charms Sterling Silver Plated Charm Bracelet for Women & Girls,1926.00,30
Moneekar Jewels,bracelet,Brand object (1),30,"18kt Gold Plated with Clear Cubic Zirconia Bracelet for Men (8.5inches, 14mm)",1200.00,10
Meenaz,bracelet,Brand object (1),30,Rudraksh American Diamond Gold Meena Om Sun Rakhi Cuff Kada Bracelet for Men Boys Brother Stainless Steel 18K Gold Plated Wheat Cuff,3204.00,20
Yellow Chimes,bracelet,Brand object (1),30,Blue Crystal Designer Collection Bracelets,1560.00,20
Yellow Chimes,bracelet,Brand object (1),30,Valentines Special Bella Beauty Crystal Love Heart Charm Bracelet for Women and Girls. Perfect to Gift!…,3100.00,20
SHAZE Studded,bracelet,Brand object (1),30,Bracelet for Girls Bracelets for Women Bangles for Women,2240.00,30
SHAZE,bracelet,Brand object (1),30,Marquies Trail Bracelet|Bracelet for Girls Bracelets for Women Bangles for Women,2590.00,20
Yellow Chimes,bracelet,Brand object (1),30,Crystals from Swarovski Plated Designer Bracelet for Women and Girls,5346.00,20
Cubic Zirconia,neckless,Brand object (1),30,Cubic Zirconia American Diamond Necklace,2050.00,30
Shining Diva Fashion,neckless,Brand object (1),30,Crystal Pearl Necklace Set for Women/Jewellery Set with Earrings,2170.00,20
iJuels,neckless,Brand object (1),30,925 Sterling Silver Heart Solitaire Pendant Chain Necklace & Earrings Combo | Silver Pendant Earrings Set,3100.00,20
Ratnavali Jewels,neckless,Brand object (1),30,American Diamond Traditional Fashion Jewellery Red Ruby White Necklace Pendant Set with Earrings,2401.00,10
SHAZE Orbit,neckless,Brand object (1),30,SHAZE Orbit Necklace & Earrings Set |Necklace for Women Necklace for Girls,7500.00,50
Shaze Scintilating,neckless,Brand object (1),30,Crystal|Necklace Set for Women|Necklace for Women,6200.00,30
SHAZE Garden,neckless,Brand object (1),30,V Necklace Set |Necklace Set for Women Necklace Set for Girls,2050.00,30
jewelscart,neckless,Brand object (1),30,American Diamond CZ Zircon Fashion Necklace Earrings Set,1211.00,20
Apara Rhodium,neckless,Brand object (1),30,Necklace Set with Austrian Diamond for Women,3999.00,30
YouBella,neckless,Brand object (1),30,Jewellery American Diamond Gold Plated Necklace Set/Jewellery Set with Earrings,2096.00,30
Atasi,neckless,Brand object (1),30,International Jewellery Set for Women (Silver) (R4073),3543.00,20
GIRISA Crystal Diamante,neckless,Brand object (1),30,Rhinestone Necklace Party Choker for Girls and Women,1000.00,10
Shaze Rhodium,earrings,Brand object (1),30,Copper Studded Alexa Earrings for Women,5150.00,30
Leaf Earrings,earrings,Brand object (1),30,Shaze Dual Toned Edgy Leaf Earrings,4883.00,30
Shaze Brass,earrings,Brand object (1),30,Shaze Brass Whitewave Earring for Women and Girl,3290.00,20
Shaze,earrings,Brand object (1),30,Glittery Platinum Crystal Drop Earrings for Women Earrings for Girls,5736.00,30
YouBella Jewellery,earrings,Brand object (1),30,Gold Plated Crystal Earrings for Girls and Women,1350.00,20
Gregg Ruth,earrings,Brand object (1),30,62 ct. t.w. Diamond Drop Earrings in 18kt White Gold,3250.00,20
Boucheron,earrings,Brand object (1),30,14k White Gold Dangle Studs Halo Round Brown Diamond Earrings,2400.00,10
Zivom,earrings,Brand object (1),30,Three Stone Wave Aaa Crystal American Diamond Blue Rhodium Plated Brass Stud Earring,1000.00,10
Shaze Silver,earrings,Brand object (1),30,Copper Floral Ecstacy Earrings for Women,43400.00,30
Diamond Heart Earrings,earrings,Brand object (1),30,White Gold Diamond Earrings – ED11ABB,2000.00,10
Fancy Earrings,earrings,Brand object (1),30,Fancy 18 Carat White Gold 2 Carats Diamond Earrings,4500.00,10
Diamond Flower Earrings,earrings,Brand object (1),30,3.65 carat diamond flower earrings in white gold,1250.00,20
"Arpita Gems,",Ring,Brand object (1),30,7.00 Ratti Natural Certified White Cubic Zircon/Cubic Diamond Gemstone Sterling Silver,1530.00,13
Vighnaharta,Ring,Brand object (1),30,Micro Tortoise Silver and Rhodium Plated Alloy Gents Ring,1000.00,10
JDX American,Ring,Brand object (1),30,Diamond Silver Plated Metal Ring Adjustable for Women,1000.00,10
Karatcart Platinum,Ring,Brand object (1),30,Plated Elegant Austrian Crystal Heart Cut Adjustable Ring,1648.00,15
Jewellery For Women,Ring,Brand object (1),30,Cz Blue Stone Platinum American Diamond Adjustable Finger Ring for Girls & Womens (Free Size),1000.00,10
Meenaz,Ring,Brand object (1),30,Jewellery Sets Valentine Adjustable Freesize Fancy Silver Ring For Girls,3520.00,30
Yellow Chimes,Ring,Brand object (1),30,Royal Crown Austrian Crystal Silver Designer Ring,2140.00,20
Karatcart Platinum,Ring,Brand object (1),30,Platinum Plated Elegant Classic Crystal Adjustable Ring for Women,1000.00,10
Yellow Chimes,Ring,Brand object (1),30,Crystals from Swarovski Pink Designer Ring for Women and Girls,2551.00,20
Karatacart,Ring,Brand object (1),30,Silver Platinum Plated Elegant Austrian Crystal Adjustable Leaf Ring For Women's,1000.00,10
Shaze Metamorphosis Ring,Ring,Brand object (1),30,Rings for Women Ring for Girlfriend,3303.00,30
VK Jewles,Ring,Brand object (1),30,"Silver Rhodium plated Ring for Women, 12 (VKFR1056R12)",4380.00,30
